Date,sma10,wma10,ema10,mom,stck%,stcd%,rsi,macd,r,ad,cci,roc,obv,ris,lband,hband,t_n
2010-03-24,10745.87314453125,10777.628728693182,10716.553187128915,251.1103515625,80.31991420509318,88.77768154882865,69.87239530625598,143.3422674307585,-19.680085794906805,2958846020.5379596,85.17810613599967,2.3409166055678843,3382600000.0,6.435691914104305e-05,10587.973359495541,10903.772929566958,10828.849609375
2010-03-25,10772.36611328125,10792.715358664773,10736.970718446384,163.8994140625,82.25577550023095,87.58084853642562,70.94273495036205,144.0599292792067,-17.744224499769047,2913352433.897849,99.16001895429007,2.5078729246271814,3506200000.0,5.243369516016647e-05,10664.495450287257,10880.236776275244,10996.3701171875
2010-03-26,10805.50810546875,10833.443359375,10784.134245490222,245.1103515625,98.27327206060508,87.40817574248612,73.70671830293276,156.34395067509286,-1.7267279393949184,3042328727.023795,229.58687346752498,3.1075618339096134,3648400000.0,0.00017663399985989788,10654.848359407199,10956.167851530303,10986.4697265625
2010-03-29,10829.0291015625,10866.345472301136,10820.922514776092,234.4892578125,94.83285109280042,87.28851326238872,68.88961042016649,163.3967117681641,-5.167148907199567,3173196076.7222652,158.99869479088125,2.1877432604645715,3503700000.0,0.00014538757216681823,10649.009379232979,11009.048823892022,11097.1396484375
2010-03-30,10863.54501953125,10915.092844460227,10871.143811805438,375.4296875,97.02494509293783,87.83403115376652,73.55906580405028,175.88867833802942,-2.97505490706218,3292696456.344865,169.07022042933474,3.210191654371815,3657200000.0,0.00021502615259224995,10631.12209582182,11095.96794324068,11089.9404296875
2010-03-31,10900.36806640625,10956.255646306818,10910.925015056722,242.9599609375,86.13335587156028,87.73919466708561,75.95114081839404,183.09710559831547,-13.86664412843972,3171043127.207042,136.55561994101498,3.434437884363383,3515500000.0,0.000173913726698359,10653.281548161278,11147.454584651223,11244.400390625
2010-04-01,10940.11005859375,11018.806977982955,10971.55690152368,500.3701171875,94.76406717010555,87.45287541519932,76.9014762303903,198.97974941721986,-5.235932829894451,3276502245.1142836,144.31897070628452,3.663876071501754,3682000000.0,0.00027814192947009934,10622.403833385859,11257.81628380164,11286.08984375
2010-04-02,10994.316015625,11081.712393465908,11028.744709201193,461.3701171875,94.9042403999529,88.91593537063568,90.01045188169911,212.4814951153112,-5.095759600047104,3319259096.075822,134.2969258534283,5.045216334252479,3832100000.0,0.000265386066500485,10645.480819205399,11343.1512120446,11339.2998046875
2010-04-05,11045.7740234375,11144.43671875,11085.209272016886,565.1494140625,89.2645330605435,88.97318494921947,89.58807902439611,224.88301361321464,-10.73546693945649,3277241766.02495,126.15968358689022,4.75374966856911,3950000000.0,0.00026573581953349946,10662.11446944484,11429.43357743016,11282.3203125
2010-04-06,11096.591015625,11187.445134943182,11121.047643013815,467.2900390625,80.30492445661642,89.80778789104463,88.71309963099631,227.49116105258872,-19.695075543383574,3266432852.4838095,83.02304058154569,4.716566072042006,3812000000.0,0.0001673750943992413,10736.40344480014,11456.778586449858,11292.830078125
2010-04-07,11144.37099609375,11223.124964488636,11152.28081303403,463.98046875,80.75937489309226,89.85173395984452,88.16548384429493,227.78047540905027,-19.240625106907746,3219397503.5659857,73.56706663887553,4.417923876376112,3979400000.0,0.00013321441118864988,10821.420988683582,11467.32100350392,11168.2001953125
2010-04-08,11178.3060546875,11227.457546164773,11155.17524617557,171.830078125,53.74878597833207,87.00103500765462,73.02965997791772,215.4693723538967,-46.251214021667934,3120448293.815115,8.611054053886983,3.133763956272046,3849200000.0,-9.040600002862314e-06,10933.16122283787,11423.45088653713,11204.33984375
2010-04-09,11199.10302734375,11232.190962357954,11164.114263916374,217.8701171875,59.79442806041565,83.1531506076357,67.17657363808381,206.25136473756174,-40.205571939584345,3266041368.916132,-5.705045916272419,1.891257972823596,3997600000.0,4.676103428519034e-06,10986.037869648957,11412.168185038543,11251.900390625
2010-04-12,11225.64609375,11241.790482954546,11180.075377863397,154.7607421875,61.39780380956057,79.8096458793117,70.63848463357333,200.4728398345942,-38.60219619043943,3142110751.8522825,52.006503223215944,2.415977749620116,4130100000.0,2.3387782454337062e-05,11065.619594963531,11385.672592536468,11161.23046875
2010-04-13,11232.05517578125,11230.078551136363,11176.649030751869,71.2900390625,23.45813544494995,72.45296491451292,55.14333049634719,186.42798650081932,-76.54186455505005,3166950336.5947127,-82.0677239969177,0.5775436044145315,3985500000.0,-6.305587528092227e-05,11088.882687198986,11375.227664363514,11204.900390625
2010-04-14,11243.551171875,11225.14131747159,11181.78564163789,-39.5,36.41656636995131,67.48128596435201,58.715445541329125,176.78328906409297,-63.583433630048695,3139617907.763918,-40.13645007561972,1.03661477414031,4124900000.0,-3.437595530021043e-05,11133.160763315529,11353.941580434472,11273.7900390625
2010-04-15,11246.49013671875,11230.639293323864,11198.513713896911,-12.2998046875,57.965493856953465,63.801428633036814,52.56030476942369,172.7077483372923,-42.034506143046535,3075517626.959695,36.85303271514683,0.2613714152513065,4281700000.0,2.4274153101880185e-05,11134.610918760116,11358.369354677385,11102.1796875
2010-04-16,11228.09912109375,11204.401029829545,11180.998436370199,-237.1201171875,5.398036912802335,54.85080828432176,36.93577075373008,153.8567667504867,-94.60196308719766,2971479628.1652403,-105.43916451906728,-1.6295294366440436,4144900000.0,-0.0001121467064333183,11090.741961939746,11365.456280247754,10908.76953125
2010-04-19,11185.04609375,11146.34110440341,11131.502271802889,-373.55078125,6.211008071825601,46.54545578544996,24.496747180176015,121.90539530212845,-93.7889919281744,2944203046.843866,-238.1554201584101,-3.7967976934477483,4011800000.0,-0.00024700529634328244,10967.57183209077,11402.520355409228,10900.6796875
2010-04-20,11146.88203125,11094.638121448863,11089.534529202363,-392.150390625,4.589781794209973,38.97394151920932,26.002868848432456,94.83769058843427,-95.41021820579003,2838102357.1886935,-152.9130688955202,-3.382643059488123,3882200000.0,-0.00022087104094201164,10882.250469326164,11411.513593173835,11090.0498046875
2010-04-21,11126.60400390625,11084.30498934659,11089.628215654206,-78.150390625,44.66306124599866,35.36431015449996,39.590762940675766,87.65647612299108,-55.33693875400134,2976776498.369798,-44.99058887080967,-1.7956550486870386,4035200000.0,-3.285297041749379e-05,10879.305201179268,11373.902806633232,10949.08984375
2010-04-22,11104.69296875,11052.0296875,11064.075784398896,-255.25,17.073165823887702,31.696748139055522,38.937956236768336,69.78656504396531,-82.9268341761123,3026210333.479928,-98.53867388963062,-1.9619128214988897,3891100000.0,-0.00014012375257729895,10837.955761839698,11371.430175660302,10914.4599609375
2010-04-23,11075.70498046875,11017.441867897727,11036.872907405914,-337.4404296875,9.995274339664377,26.7168327669804,35.34272901353259,52.228136195935804,-90.00472566033562,3020640857.754021,-85.53230405649856,-2.5872107313328296,3754300000.0,-0.00014558442989913054,10795.899400257102,11355.510560680399,11165.7900390625
2010-04-26,11067.0939453125,11033.820969460226,11060.31238588893,4.5595703125,66.52836696579844,27.22988908260418,46.38989627865807,57.92546300365029,-33.47163303420155,3155540857.754021,31.922761733217097,-0.7652960706463995,3889200000.0,8.917977405604635e-05,10804.753019987435,11329.434870637564,11212.66015625
2010-04-27,11072.2369140625,11060.287553267046,11088.011980500034,7.759765625,76.9268434302948,32.57675988113866,52.238350495833906,65.46798807874075,-23.073156569705215,3296383403.723959,61.81463957953733,0.46078868852315585,4032200000.0,0.00012682463650064534,10800.85508843875,11343.61873968625,10924.7900390625
2010-04-28,11044.22587890625,11033.479030539773,11058.335263875028,-349.0,13.060763761000786,30.241179620243617,39.94600631071398,47.66730193083458,-86.93923623899921,3237268325.9337416,-59.78787043444331,-2.49989149209095,3852900000.0,-0.00010814324258965527,10775.588547006493,11312.863210806008,11057.400390625
2010-04-30,11022.5869140625,11035.874396306817,11058.165286920477,-44.779296875,52.51646529766097,29.696276764314366,42.5728675690297,43.75628183212393,-47.48353470233902,3201717868.783087,29.381629440001486,-1.919404634002696,4009600000.0,3.158376235444815e-05,10800.590106552812,11244.583721572188,10695.6904296875
2010-05-06,10981.93798828125,10976.438671875,10992.260767423573,-213.0791015625,2.464034732698039,29.402876546303936,37.65858720628567,11.33908935143154,-97.53596526730196,3047007563.153187,-156.42747621112395,-3.6613464135350675,3825800000.0,-0.00026065304584600897,10694.042586023572,11269.833390538928,10364.58984375
2010-05-07,10927.52001953125,10864.1935546875,10878.138781301104,-536.08984375,11.219138024894876,29.903689541610863,34.75295096231196,-40.60079867092463,-88.78086197510513,3046045653.9881067,-247.75291003488158,-4.988460760318623,3598100000.0,-0.0005151490683843173,10457.047337295255,11397.992701767245,10530.7001953125
2010-05-10,10890.5220703125,10792.044495738637,10814.968129303175,-559.349609375,28.592337477031936,32.303945109893064,40.477019962467,-67.58078775273134,-71.40766252296807,3207096131.9115515,-127.01186194328457,-3.3940956233377078,3779100000.0,-0.0003303991054578292,10362.727243194488,11418.316897430512,10411.099609375
2010-05-11,10822.62705078125,10704.876775568182,10741.537489316233,-537.990234375,16.0835153925585,29.44599052454904,31.87331539901936,-97.48959189157904,-83.9164846074415,3039447086.239317,-92.7531462052754,-6.1221564129092,3582200000.0,-0.00038024727219676557,10242.849268755635,11402.404832806864,10394.0302734375
2010-05-12,10767.12109375,10626.950088778409,10678.354359156463,-520.4296875,14.29826254727667,29.168500196887937,34.13119285265583,-121.17307957496087,-85.70173745272334,2968276824.3324757,-86.76799745312795,-5.0694585416096585,3392900000.0,-0.00034650935664601036,10141.901472109488,11392.340715390512,10620.5498046875
2010-05-13,10737.730078125,10600.300763494319,10667.844440162105,-545.240234375,37.98955546907955,31.967928309829453,42.428083346332095,-120.27769473060107,-62.010444530920445,3072703632.2946696,-34.43106454555592,-2.692851110379212,3552500000.0,-0.00010912946459347151,10115.352372480138,11360.107783769861,10462.509765625
2010-05-14,10667.40205078125,10550.260706676136,10630.51086297354,-750.150390625,21.460416290036434,27.461133242253254,30.96671443318968,-130.8126790115948,-78.53958370996357,3052209182.6244974,-55.343353177731544,-6.2985267587616995,3363400000.0,-0.00019207327536815166,10097.687877826596,11237.116223735902,10235.759765625
2010-05-17,10569.71201171875,10471.780291193181,10558.737936182895,-689.0302734375,8.29140712137573,20.59758961136135,25.907329249271925,-155.66416038261377,-91.70859287862427,3032610028.8233542,-109.60795975072121,-8.712476584608428,3181000000.0,-0.0003159520767675536,10077.772657489526,11061.651365947973,10242.6396484375
2010-05-18,10501.49697265625,10412.31258877841,10501.265520229186,-814.7607421875,9.027838029103917,20.194297038171662,30.469707611233886,-172.8119211140929,-90.97216197089608,2975849566.96339,-96.66899939055543,-6.2440595030743316,3341800000.0,-0.00024649564237628395,10037.008509774472,10965.985435538028,10186.83984375
2010-05-19,10414.44091796875,10355.102201704545,10444.097215414788,-508.8505859375,17.979581104888563,16.74060861889442,23.9287573479952,-188.72867623645652,-82.02041889511143,3150849566.96339,-138.2658169226626,-7.87310322608109,3166800000.0,-0.0002185437278981095,10095.965322382337,10732.916513555163,10030.3095703125
2010-05-20,10347.90283203125,10285.260138494317,10368.863098123462,-334.2802734375,4.772437983490583,16.971448943973677,27.28145718770881,-211.53505974060317,-95.22756201650941,3057885525.180509,-136.64622833522586,-6.221018304046415,3017100000.0,-0.0003069155817115532,10014.586646964775,10681.219017097725,9784.5400390625
2010-05-21,10289.8978515625,10182.830539772727,10262.62254193056,-746.16015625,9.286443772759627,16.77817951876015,28.969519893893576,-246.59819962572328,-90.71355622724037,3121190654.8194036,-176.66773914643855,-5.596456911773297,2822100000.0,-0.000491120339375636,9816.103549942995,10763.692153182006,9758.400390625
2010-05-24,10212.66787109375,10086.19463778409,10170.94578714773,-652.69921875,6.875330801683427,14.6064788512253,18.83622561448003,-273.34429884554083,-93.12466919831657,3170882826.922245,-135.93153935957162,-7.333793483469139,2657300000.0,-0.0004448078466886435,9673.757235083205,10751.578507104296,9459.8896484375
